ID,power,speed,thickness,dia,Solidt,Sdensity,Sspheat,Sthercondu,Liquidt,Ldensity,LSpheat,Lthercondu,Lsurfacet,Lviscosity,Lfusion,dsigma,Absorptivity,Lvapor,defect,defects
D55,160,1400,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,1,Bl
A44,200,800,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
A26,100,600,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
G20,170,1500,40,100,1555,7.27,699.2,28.7,1586,6.9,740.8,20.17,1.53,0.0076,142500,-0.000147,0.3,131860.04,1,Bl
A68,200,300,75,55,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
D45,140,800,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,1,Bl
B21,300,800,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
B64,275,600,46,60,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
D14,40,1400,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,2,Lf
B71,150,2200,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
H23,87.5,600,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
A50,125,100,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
H10,50,250,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
A66,100,150,75,55,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
B82,100,400,30,70,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,2,Lf
G11,130,800,40,100,1555,7.27,699.2,28.7,1586,6.9,740.8,20.17,1.53,0.0076,142500,-0.000147,0.3,131860.04,3,Kh
A11,100,1000,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,0,Gd
E20,95,400,50,72,1522,7.93,631.06,24.12,1611,7.6,674.6,26.4,1.72,0.00809,16500,-0.00037,0.38,133938.54,3,Kh
H14,65,150,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
B46,250,200,70,100,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
A20,75,600,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
D27,80,1400,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,1,Bl
B17,200,800,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
E12,75,2400,50,72,1522,7.93,631.06,24.12,1611,7.6,674.6,26.4,1.72,0.00809,16500,-0.00037,0.38,133938.54,0,Gd
E7,65,900,50,72,1522,7.93,631.06,24.12,1611,7.6,674.6,26.4,1.72,0.00809,16500,-0.00037,0.38,133938.54,0,Gd
D57,180,400,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,3,Kh
D82,180,1000,50,92,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,0,Gd
H30,175,1800,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,1,Bl
H34,240,1800,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,1,Bl
H46,200,500,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,3,Kh
A36,150,600,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
B53,110,600,46,60,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
A53,150,200,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
H37,80,150,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,3,Kh
D58,180,600,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,1,Bl
B59,220,400,46,60,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
A74,300,900,75,55,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
A33,125,900,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
H27,145,1400,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
H16,65,400,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
E1,35,400,50,72,1522,7.93,631.06,24.12,1611,7.6,674.6,26.4,1.72,0.00809,16500,-0.00037,0.38,133938.54,1,Bl
G3,50,300,40,100,1555,7.27,699.2,28.7,1586,6.9,740.8,20.17,1.53,0.0076,142500,-0.000147,0.3,131860.04,2,Lf
A41,175,600,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
G8,80,600,40,100,1555,7.27,699.2,28.7,1586,6.9,740.8,20.17,1.53,0.0076,142500,-0.000147,0.3,131860.04,0,Gd
B54,110,800,46,60,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
D96,400,400,20,87,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,3,Kh
B35,250,1000,70,100,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
A67,200,200,75,55,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
A16,75,100,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,2,Lf
A56,175,100,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
D95,200,400,20,87,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,3,Kh
F12,200,1200,30,100,1778,7.23,742.6,27.22,1783,7,808.6,36.7,1.75,0.00644,12680,-0.00046,0.36,148238.62,1,Bl
F19,300,1400,30,100,1778,7.23,742.6,27.22,1783,7,808.6,36.7,1.75,0.00644,12680,-0.00046,0.36,148238.62,1,Bl
H4,750,600,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,0,Gd
D38,120,800,30,52,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,1,Bl
H22,80.5,1050,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,2,Lf
B38,300,600,70,100,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,0,Gd
A14,175,1000,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,0,Gd
H44,165,800,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,3,Kh
B22,300,1000,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
D99,215,580,30,100,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,3,Kh
H32,210,1800,37,80,1698,7.3,696.9,30.18,1764,7.01,802.6,36.8,1.62,0.00622,159800,-0.000394,0.4,146658.96,1,Bl
B23,300,1200,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
A57,200,100,50,70,1679,7.32,995.8,26.2,1707,7.03,775.1,33.3,1.73,0.00732,110630,-0.00017,0.4,141919.98,3,Kh
F1,100,600,30,100,1778,7.23,742.6,27.22,1783,7,808.6,36.7,1.75,0.00644,12680,-0.00046,0.36,148238.62,0,Gd
B18,300,100,40,66,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,3,Kh
D86,100,400,20,87,1877,3.9,814.6,28.7,1923,4.2,972.4,33.75,1.625,0.0325,17800,-0.0003,0.3,159878.22,0,Gd
B69,110,1000,46,60,1618,7.72,684.63,26.16,1648,7.27,730.9,28.02,1.783,0.0068,136100,-0.00032,0.36,137014.72,2,Lf
